Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Nombre_1,Nombre_12,Nombre_12_
PrecipitaciÛn,"diciembre 15, 2013",HidrometeorolÛgicos,36.652,1,1,20.127,123,14,"17,17","-92,33",PROTOCOLOS DE ATENCI”N DE EMERGENCIAS POR FF-19,Tulij· Tseltal-Chol,YajalÛn,CABECERA MUNICIPAL
PrecipitaciÛn,"diciembre 16, 2013",HidrometeorolÛgicos,36.694,1,1,20.096,92,14,"17,56","-92,34",ENCHARCAMIENTO EN CABECERA MUNICIPAL,Tulij· Tseltal-Chol,Salto de Agua,CABECERA MUNICIPAL
PrecipitaciÛn,"diciembre 16, 2013",HidrometeorolÛgicos,36.701,1,1,3.395,77,8,"17,41","-93,33",AFECTACIONES POR LLUVIAS,Norte,Ostuac·n,LA PE—A 2DA. SECCI”N
Verificaciones,"diciembre 21, 2013",Acciones de PrevenciÛn,36.863,52,8,3.047,60,8,"17,50","-93,01",TRABAJOS DE REDUCCION DE RIESGOS DE INUNDACI”N,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
Baja PresiÛn,"diciembre 22, 2013",HidrometeorolÛgicos,36.892,2,1,20.067,63,8,"17,61","-93,20",SESION EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE P.C. POR EL FRENTE FRIO NUM. 20,Norte,Ju·rez,CABECERA MUNICIPAL
Encharcamiento,"diciembre 23, 2013",HidrometeorolÛgicos,36.935,69,1,20.087,83,8,"17,51","-93,12",AFECTACIONES POR LLUVIA FRENTE FRIO NUM. 20,Norte,Pichucalco,CABECERA MUNICIPAL
Afectaciones por lluvias,"diciembre 23, 2013",HidrometeorolÛgicos,36.947,80,1,1.26,63,8,"17,61","-93,19",AFECTACIONES POR LLUVIAS FRENTE FRIO NUM 20,Norte,Ju·rez,LAS MIRANDAS
PrecipitaciÛn,"diciembre 23, 2013",HidrometeorolÛgicos,36.96,1,1,20.093,89,8,"17,86","-93,16",FRENTE FRIO N 20,Norte,Reforma,CABECERA MUNICIPAL
PrecipitaciÛn,"enero 2, 2014",HidrometeorolÛgicos,37.298,1,1,20.087,83,8,"17,51","-93,12",MONITORE RIO PICHUCALCO FF23,Norte,Pichucalco,CABECERA MUNICIPAL
PrecipitaciÛn,"enero 3, 2014",HidrometeorolÛgicos,37.304,1,1,2.46,63,8,"17,61","-93,20",RECORRIDO EN COMUNIDADES PARA VERIFICAR DA—OS POR LLUVIAS.,Norte,Ju·rez,SANTA CRUZ TEPATE ABAJO
Verificaciones,"enero 9, 2014",Acciones de PrevenciÛn,37.529,52,8,3.047,60,8,"17,51","-93,01",CONSTRUCCION DE CAMELLON CON COSTALERIA DE ARENA,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
PrecipitaciÛn,"enero 6, 2014",HidrometeorolÛgicos,37.535,1,1,20.052,48,3,"17,32","-93,24",AFECTACION EN VIVIENDAS,Mezcalapa,Francisco LeÛn,CABECERA MUNICIPAL
Verificaciones,"enero 21, 2014",Acciones de PrevenciÛn,37.938,52,8,20.087,83,8,"17,51","-93,12",IDENTIFICACI”N DE RIESGOS POR ASOLVAMIENTO DEL RIO PICHUCALCO,Norte,Pichucalco,CABECERA MUNICIPAL
Verificaciones,"febrero 5, 2014",Acciones de PrevenciÛn,38.538,52,8,20.07,66,9,"15,46","-92,89",VERIFICACION DE VIVIENDAS QUE SOLICITAN AGUA POTABLE,Istmo-Costa,Mapastepec,CABECERA MUNICIPAL
PrecipitaciÛn,"febrero 10, 2014",HidrometeorolÛgicos,38.763,1,1,20.071,67,15,"16,31","-91,99",MONITOREO POR FUERTE LLUVIA,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"febrero 19, 2014",Acciones de PrevenciÛn,39.115,52,8,1.106,69,10,"14,85","-92,42",VERIFICACI”N FÕSICA DE LOS DRENES BUENA VISTA Y LA COMPUERTA.,Soconusco,Mazat·n,CUATRO CAMINOS
Baja PresiÛn,"abril 3, 2014",HidrometeorolÛgicos,41.383,2,1,20.117,113,15,"16,11","-92,05",ARBOL DERRIBADO,Meseta Comiteca Tojolabal,La Trinitaria,CABECERA MUNICIPAL
PrecipitaciÛn,"abril 5, 2014",HidrometeorolÛgicos,41.482,1,1,19.972,74,12,"16,91","-92,09",ENCHARCAMIENTO EN VIVIENDA.,Selva Lacandona,Ocosingo,SAN JOS…
PrecipitaciÛn,"abril 7, 2014",HidrometeorolÛgicos,41.6,1,1,20.087,83,8,"17,52","-93,12",ENCHARCAMIENTO DE VIALIDADES FF49,Norte,Pichucalco,CABECERA MUNICIPAL
Frente FrÌo,"abril 7, 2014",HidrometeorolÛgicos,41.608,61,1,246,110,14,"17,25","-92,48",LLUVIAS FUERTE EN EL MUNICIPIO DE TILA,Tulij· Tseltal-Chol,Tila,TILA
Verificaciones,"abril 21, 2014",Acciones de PrevenciÛn,42.495,52,8,166,42,1,"16,71","-93,01",PATIO INUNDADO EN FRACC. SANTA FE,Metropolitana,Chiapa de Corzo,CHIAPA DE CORZO
Verificaciones,"abril 23, 2014",Acciones de PrevenciÛn,42.607,52,8,1.26,63,8,"17,61","-93,20",TRABAJOS DE REDUCCION DE RIESGOS PARA PREVENIR INUNDACIONES,Norte,Ju·rez,LAS MIRANDAS
Frente FrÌo,"abril 27, 2014",HidrometeorolÛgicos,42.78,61,1,197,113,15,"16,13","-92,05",ENCHARCAMIENTO (CAPACITACION),Meseta Comiteca Tojolabal,La Trinitaria,LA TRINITARIA
Verificaciones,"abril 28, 2014",Acciones de PrevenciÛn,42.849,52,8,642,83,8,"17,61","-93,38",IDENTIFICACION DE RIESGOS POR ESTRUCTURA DE PUENTE TUBULAR,Norte,Pichucalco,PLUTARCO ELÕAS CALLES
PrecipitaciÛn,"abril 30, 2014",HidrometeorolÛgicos,42.945,1,1,480,99,8,"17,43","-93,03",AFECTACION DE VIVIENDAS,Norte,Solosuchiapa,CERRO LAS CAMPANAS
Afectaciones por lluvias,"abril 29, 2014",HidrometeorolÛgicos,42.976,80,1,20.053,49,11,"15,66","-92,14",ENCHARCAMIENTO DE VIVIENDA,Sierra Mariscal,Frontera Comalapa,CABECERA MUNICIPAL
PrecipitaciÛn,"mayo 1, 2014",HidrometeorolÛgicos,43.02,1,1,20.071,67,15,"16,31","-91,98",ENCHARCAMIENTOS EN VIVIENDAS POR FUERTE LLUVIA,Meseta Comiteca Tojolabal,Las Margaritas,CABECERA MUNICIPAL
Verificaciones,"mayo 6, 2014",Acciones de PrevenciÛn,43.178,52,8,20.053,49,11,"15,65","-92,14",DESAZOLVE DEL RIO JAMAIPAK,Sierra Mariscal,Frontera Comalapa,CABECERA MUNICIPAL
Verificaciones,"mayo 6, 2014",Acciones de PrevenciÛn,43.275,52,8,3.295,64,5,"16,88","-92,71",ALCANTARILLA OBSTRUIDO,Altos Tsotsil-Tseltal,Larr·inzar,YOLT…
PrecipitaciÛn,"mayo 11, 2014",HidrometeorolÛgicos,43.383,1,1,4.144,56,15,"16,20","-91,86",ENCHARCAMIENTO EL TRIUNFO,Meseta Comiteca Tojolabal,La Independencia,EL TRIUNFO
Encharcamiento,"mayo 19, 2014",HidrometeorolÛgicos,43.806,69,1,227,93,5,"16,71","-92,62",ENCHARCAMIENTO EN COBACH PLANTEL 11,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"mayo 19, 2014",HidrometeorolÛgicos,43.848,1,1,3.047,60,8,"17,50","-93,00",VIVIENDAS INUNDADAS,Norte,Ixtapangajoya,NUEVO POBLADO LLANOS MORELOS
PrecipitaciÛn,"mayo 20, 2014",HidrometeorolÛgicos,43.849,1,1,1.323,83,8,"17,52","-93,12",ENCHARCAMIENTO DE TRAMOS CARRETEROS Y VIVIENDAS POR DESBORDAMIENTO DEL RIO PLATANAR,Norte,Pichucalco,PLATANAR ABAJO 1RA. SECCI”N (LA CRIMEA)
PrecipitaciÛn,"mayo 20, 2014",HidrometeorolÛgicos,43.852,1,1,3.356,77,8,"17,41","-93,34",AFECTACIONES A CULTIVOS DE MAIZ POR DESBORDAMIENTO DEL ARROYO COPANO,Norte,Ostuac·n,LA PE—A 1RA. SECCI”N
Encharcamiento,"mayo 20, 2014",HidrometeorolÛgicos,43.873,69,1,227,93,5,"16,73","-92,63",ENCHARCAMIENTO EN SAN CRIST”BAL,Altos Tsotsil-Tseltal,San CristÛbal de las Casas,SAN CRIST”BAL DE LAS CASAS
PrecipitaciÛn,"mayo 21, 2014",HidrometeorolÛgicos,43.927,1,1,251,115,1,"16,75","-93,11",LLUVIAS EN TUXTLA GUTIERREZ.,Metropolitana,Tuxtla GutiÈrrez,TUXTLA GUTI…RREZ
Verificaciones,"mayo 21, 2014",Acciones de PrevenciÛn,43.931,52,8,5.226,55,10,"15,05","-92,57",OBRAS DE MITIGACION DE RIESGOS EN COORDINACION CON COMITES DE PREVENCION,Soconusco,Huixtla,TZINACAL BUENOS AIRES
